ID, IAU Identifier, Catalog Coordinate  Ra, Catalog Coordinate  Dec, mag r-band  Petrosian, mag r-band  Auto, Redshift (Heliocentric), Redshift (Flow Corrected), Absolute Mag r-band  Auto, r-band Effective Radius, Surface Brightness (1R_e_AVG), Surface Brightness (1R_e), Surface Brightness (2R_e), Ellipticity  r-band, Position Angle  r-band, Stellar Mass, Colour Auto g-i, Galactic extinction  g-band, Priority Class, Bad Class
137071,J114818.18-013825.2,177.07578,-1.64035,16.084,15.876,0.01302,0.01539,-18.21,2.59,19.86,20.83,22.51,0.1996,70.7,8.71,0.27,0.077,8,5
137155,J114852.51-015038.0,177.21879,-1.8439,18.991,18.512,0.0283,0.02954,-17.03,5.76,23.97,24.71,26.5,0.2156,162.2,8.39,0.47,0.073,8,0
137789,J115817.10-014341.1,179.57125,-1.72809,17.923,17.898,0.01906,0.02096,-16.89,3.54,22.36,22.92,24.89,0.3029,29.84,8.57,0.72,0.103,8,0
137847,J115911.60-014225.4,179.79836,-1.70706,16.117,16.038,0.02037,0.02208,-18.87,5.64,21.9,22.61,24.42,0.3275,170.24001,9.16,0.49,0.121,8,0
138066,J120253.15-014644.8,180.72149,-1.77911,17.333,16.519,0.03517,0.03641,-19.54,5.52,22.57,23.14,25.09,0.409,19.03,9.85,1.03,0.087,8,0
138094,J120258.18-014208.1,180.74242,-1.70226,17.809,17.764,0.02117,0.02278,-17.22,4.66,22.72,23.32,25.24,0.3162,60.23,8.77,0.82,0.084,8,0
138132,J120326.68-014905.7,180.86117,-1.81827,18.927,18.849,0.02087,0.02252,-16.13,3.54,23.31,24.01,25.83,0.2717,50.02,8.45,0.94,0.073,8,0
143499,J114510.69-012246.1,176.29456,-1.37948,18.368,18.377,0.02644,0.0277,-17.06,3.45,21.73,22.64,24.34,0.6934,102.25,8.74,0.87,0.068,8,0
143736,J114909.11-012144.7,177.28799,-1.36244,16.042,15.958,0.08111,0.08242,-22.01,4.49,20.14,21.26,22.89,0.6303,17.02,10.96,1.3,0.079,8,0
143746,J114925.30-012253.7,177.35543,-1.38161,16.827,16.837,0.08064,0.08195,-21.12,4.14,20.33,21.21,22.92,0.7718,55.03,10.66,1.35,0.08,3,0
143814,J115036.34-012434.5,177.65143,-1.40959,15.406,15.425,0.01982,0.0216,-19.42,6.51,20.55,21.18,23.06,0.6064,40.55,9.34,0.44,0.085,8,0
